from_Indicator,Relation,to_chemicals,CAS
Cadmium and its compounds,INCLUDE,"22-Tricosenoic acid, cadmium salt",76835-97-7
Cadmium and its compounds,INCLUDE,"Tetracosanoic acid, cadmium salt",116854-17-2
Cadmium and its compounds,INCLUDE,"Tricosanoic acid, cadmium salt",116920-59-3
Cadmium and its compounds,INCLUDE,"Selenic acid, cadmium salt (1:1), dihydrate",10060-09-0
Cadmium and its compounds,INCLUDE,Tetraiodide diammonium cadmium,105034-60-4
Cadmium and its compounds,INCLUDE,Cadmium trichloride monopotassium,14429-85-7
Cadmium and its compounds,INCLUDE,Cadmium potassium hexachloride,15276-40-1
Cadmium and its compounds,INCLUDE,Cadmium bromide rubidium,16593-57-0
Nickel and its compounds,INCLUDE,Nickel,7440-02-0
Nickel and its compounds,INCLUDE,Nickel compounds,-
Nickel and its compounds,INCLUDE,"phosphoric acid, calcium nickel salt",17169-61-8
Nickel and its compounds,INCLUDE,"diphosphoric acid, nickel(II) salt",19372-20-4
Nickel and its compounds,INCLUDE,diammonium nickel hexacyanoferrate,74195-78-1
Nickel and its compounds,INCLUDE,trinickel tetrasulfide,12137-12-1
Nickel and its compounds,INCLUDE,trinickel bis(arsenite),74646-29-0
Nickel and its compounds,INCLUDE,cobalt nickel oxide,12737-30-3
Nickel and its compounds,INCLUDE,"silicic acid, lead nickel salt",68130-19-8
Nickel and its compounds,INCLUDE,"2,7-naphthalenedisulfonic acid, nickel(II) salt",72319-19-8
Nickel and its compounds,INCLUDE,nickel boron phosphide,65229-23-4
Nickel and its compounds,INCLUDE,lithium nickel dioxide,12031-65-1
Nickel and its compounds,INCLUDE,molybdenum nickel oxide,12673-58-4
Nickel and its compounds,INCLUDE,"Bis[di(3,5,5-trimethylhexyl)dithiocarbamato-S,S']nickel",84604-95-5
Nickel and its compounds,INCLUDE,"Fatty acids, C8-18 and C18-unsatd., nickel salts",84776-45-4
Nickel and its compounds,INCLUDE,(isooctanoato-O)(neodecanoato-O)nickel,84852-35-7
Nickel and its compounds,INCLUDE,(isodecanoato-O)(isononanoato-O)nickel,84852-36-8
Nickel and its compounds,INCLUDE,Nickel bis(isononanoate),84852-37-9
Nickel and its compounds,INCLUDE,(2-ethylhexanoato-O)(isooctanoato-O)nickel,84852-38-0
Nickel and its compounds,INCLUDE,(2-ethylhexanoato-O)(isodecanoato-O)nickel,84852-39-1
Nickel and its compounds,INCLUDE,"Bis(5-oxo-DL-prolinato-N1,O2)nickel",85026-81-9
Nickel and its compounds,INCLUDE,(2-ethylhexanoato-O)(neodecanoato-O)nickel,85135-77-9
Nickel and its compounds,INCLUDE,(isodecanoato-O)(isooctanoato-O)nickel,85166-19-4
Nickel and its compounds,INCLUDE,"Bis[N-(2,4-dimethoxyphenyl)-2,3-bis(hydroxyimino)butyramidato-N2,N3]nickel",85269-39-2
Nickel and its compounds,INCLUDE,"Nickel, 2,2'-thiobis[4-nonylphenol] complexes",85480-75-7
Nickel and its compounds,INCLUDE,(isodecanoato-O)(neodecanoato-O)nickel,85508-42-5
Nickel and its compounds,INCLUDE,Nickel(II) isodecanoate,85508-43-6
Nickel and its compounds,INCLUDE,Nickel(2+) neodecanoate,85508-44-7
Nickel and its compounds,INCLUDE,(2-ethylhexanoato-O)(isononanoato-O)nickel,85508-45-8
Nickel and its compounds,INCLUDE,(isononanoato-O)(isooctanoato-O)nickel,85508-46-9
Nickel and its compounds,INCLUDE,(isononanoato-O)(neodecanoato-O)nickel,85551-28-6
Nickel and its compounds,INCLUDE,"Nickel, isodecanoate naphthenate complexes",85585-97-3
Nickel and its compounds,INCLUDE,"Nickel, isononanoate naphthenate complexes",85585-98-4
Nickel and its compounds,INCLUDE,"Nickel, naphthenate neodecanoate complexes",85585-99-5
Nickel and its compounds,INCLUDE,"Bis(1H-1,2,4-triazole-3-sulphonato-N2,O3)nickel",85586-46-5
Nickel and its compounds,INCLUDE,"[[3-[1-cyano-2-(methylamino)-2-oxoethylidene]-2,3-dihydro-1H-isoindol-1-ylidene](salicylic)hydrazidato(2-)]nickel",85958-80-1
Nickel and its compounds,INCLUDE,"Nickel, acetate carbonate C8-10-branched fatty acids C9-11-neofatty acids complexes",90459-30-6
Nickel and its compounds,INCLUDE,"Nickel, borate C8-10-branched carboxylate complexes",90459-31-7
Nickel and its compounds,INCLUDE,"Nickel, C5-C23-branched carboxylate octanoate complexes",90459-32-8
Nickel and its compounds,INCLUDE,"Nickel, isooctanoate naphthenate complexes",90459-33-9
Nickel and its compounds,INCLUDE,"Nickel, acetylacetone 6-methyl-2,4-heptanedione complexes",90459-34-0
Nickel and its compounds,INCLUDE,"Nickel, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, [[3-[(5-chloro-2,6-difluoro-4-pyrimidinyl)amino]phenyl]amino]sulfonyl sulfo derivs., sodium salts",90459-35-1
Nickel and its compounds,INCLUDE,"Nickelate(4-), [bis[[[3-[[4,5-dihydro-3-methyl-5-oxo-1-[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]-1H-pyrazol-4-yl]azo]phenyl]amino]sulfonyl]-29H,31H-phthalocyaninedisulfonato(6-)-N29,N30,N31,N32]-, sodium",90459-36-2
Nickel and its compounds,INCLUDE,"Waste solids, chromium-nickel steel manuf.",91082-81-4
Nickel and its compounds,INCLUDE,"Waste solids, nickel-manuf.",91082-84-7
Nickel and its compounds,INCLUDE,"Fatty acids, C6-19-branched, nickel salts",91697-41-5
Nickel and its compounds,INCLUDE,"Nickel, C5-23-branched carboxylate naphthenate complexes",92200-98-1
Nickel and its compounds,INCLUDE,"Nickel, C5-25-branched carboxylate naphthenate octanoate complexes",92200-99-2
Nickel and its compounds,INCLUDE,"Nickel, borate neodecanoate complexes",92502-55-1
Nickel and its compounds,INCLUDE,"Nickel, C5-23-branched carboxylate C4-10-fatty acids naphthenate complexes",93573-14-9
Nickel and its compounds,INCLUDE,"Nickel, C4-10 fatty acids naphthenate complexes",93573-15-0
Nickel and its compounds,INCLUDE,"Nickel, C4-10 fatty acids octanoate complexes",93573-16-1
Nickel and its compounds,INCLUDE,"Nickel, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, chlorosulfonyl derivs., reaction products with 2-[(4-aminophenyl)sulfonyl]ethyl hydrogen sulfate monosodium salt, potassium sodium salts, compds. with pyridine",93573-17-2
Nickel and its compounds,INCLUDE,"Nickel, C5-23-branched carboxylate C4-10 fatty acids complexes",93762-59-5
Nickel and its compounds,INCLUDE,"Nickelate(6-), [4-[[5-[[(3,6-dichloro-4-pyridazinyl)carbonyl]amino]-2-sulfophenyl]azo]-4,5-dihydro-5-oxo-1-[2-sulfo-5-[[(trisulfo-29H,31H-phthalocyaninyl)sulfonyl]amino]phenyl]-1H-pyrazole-3-carboxylato(8-)-N29,N30,N31,N32]-, hexasodium",93891-86-2
Nickel and its compounds,INCLUDE,(neononanoato-O)(neoundecanoato-O)nickel,93920-08-2
Nickel and its compounds,INCLUDE,Nickel(2+) neoundecanoate,93920-09-3
Nickel and its compounds,INCLUDE,Nickel(2+) neononanoate,93920-10-6
Nickel and its compounds,INCLUDE,"Tetrasodium [[[(3-amino-4-sulphophenyl)amino]sulphonyl]-29H,31H-phthalocyaninetrisulphonato(6-)-N29,N30,N31,N32]nickelate(4-)",93939-76-5
Nickel and its compounds,INCLUDE,"Dimethylhexanoic acid, nickel salt",93983-68-7
Nickel and its compounds,INCLUDE,"Cobalt(2+) dinickel(2+) bis[2-hydroxypropane-1,2,3-tricarboxylate]",94232-44-7
Nickel and its compounds,INCLUDE,"Dicobalt(2+) nickel(2+) bis[2-hydroxypropane-1,2,3-tricarboxylate]",94232-84-5
Nickel and its compounds,INCLUDE,Nickel methacrylate,94275-78-2
Nickel and its compounds,INCLUDE,"Nickel, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, chlorosulfonyl derivs., reaction products with 2-[(4-aminophenyl)sulfonyl]ethyl hydrogen sulfate monosodium salt, potassium salts",94891-42-6
Nickel and its compounds,INCLUDE,"Nickel, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, chlorosulfonyl derivs., reaction products with 2-[(4-aminophenyl)sulfonyl]ethyl hydrogen sulfate monosodium salt, sodium salts",94891-43-7
Nickel and its compounds,INCLUDE,"Spinels, cobalt nickel zinc grey",95046-47-2
Nickel and its compounds,INCLUDE,"Tetrasodium [bis[[[4-[[2-(sulphooxy)ethyl]sulphonyl]phenyl]amino]sulphonyl]-29H,31H-phthalocyaninedisulphonato(6)-N29,N30,N31,N32]nickelate(4-)",97280-68-7
Nickel and its compounds,INCLUDE,"[[N,N',N''-[29H,31H-phthalocyaninetriyltris(sulphonylimino-3,1-phenylene)]tris[3-oxobutyramidato]](2-)-N29,N30,N31,N32]nickel",97404-21-2
Nickel and its compounds,INCLUDE,"[[N,N',N'',N'''-[29H,31H-phthalocyaninetetrayltetrakis(sulphonylimino-3,1-phenylene)]tetrakis[3-oxobutyramidato]](2-)-N29,N30,N31,N32]nickel",97404-22-3
Nickel and its compounds,INCLUDE,Diiron nickel zinc tetraoxide,97435-21-7
Nickel and its compounds,INCLUDE,"Copper, bis(8-quinolinolato-N1,O8)-, reaction products with C8-10-branched fatty acids, tert-decanoic acid, nickel(2+) diacetate, nickel(2+) carbonate (1:1) and nickel hydroxide (Ni(OH)2)",97660-42-9
Nickel and its compounds,INCLUDE,Hexaamminenickel(II) chloride,10534-88-0
Nickel and its compounds,INCLUDE,Dibromobis(tributylphosphine)nickel(II),15242-92-9
Nickel and its compounds,INCLUDE,Dichlorobis(trimethylphosphine)nickel(II),19232-05-4
Nickel and its compounds,INCLUDE,"Nickel, tetrakis(triphenyl phosphite-.kappa.p)-, (t-4)-",14221-00-2
Nickel and its compounds,INCLUDE,"N,N'-Bis(salicylidene)ethylenediaminonickel(II)",14167-20-5
Nickel and its compounds,INCLUDE,Tetraethylammonium tetrachloronickelate(II),5964-71-6
Nickel and its compounds,INCLUDE,Bis(tricyclohexylphosphine)nickel(II) Dichloride,19999-87-2
Nickel and its compounds,INCLUDE,Dichlorobis(tributylphosphine)nickel(II),15274-43-8
Nickel and its compounds,INCLUDE,Nickel(II) bromide 2-methoxyethyl ether complex,312696-09-6
Nickel and its compounds,INCLUDE,Tetrakis(triphenylphosphine)nickel(0),15133-82-1
Nickel and its compounds,INCLUDE,"dichloronickel;1,2-dimethoxyethane",29046-78-4
Nickel and its compounds,INCLUDE,Nickel(II) bromide ethylene glycol dimethyl ether complex,28923-39-9
Nickel and its compounds,INCLUDE,1000 NN Ferrite,12645-50-0
Nickel and its compounds,INCLUDE,"1,2-Bis(diphenylphosphino)ethane nickel(II) chloride",14647-23-5
Nickel and its compounds,INCLUDE,Nickel(II) sulfate hexa-/ heptahydrate,15244-37-8
Nickel and its compounds,INCLUDE,"Nickel(II) 1,4,8,11,14,18,22,25-octa-n-butoxy-29H,31H-phthalocyanine",155773-71-0
Nickel and its compounds,INCLUDE,Nickel carbide,12710-36-0
Nickel and its compounds,INCLUDE,Nickel carbonate hydroxide tetrahydrate,39430-27-8
Nickel and its compounds,INCLUDE,NICKEL(II) TRIFLUOROMETHANESULFONATE,60871-84-3
Nickel and its compounds,INCLUDE,Nickel(II) tetrafluoroborate hexahydrate,15684-36-3
Nickel and its compounds,INCLUDE,"Tetrabutylammonium Bis(1,3-dithiole-2-thione-4,5-dithiolato)nickel(III) Complex",68401-87-6
Nickel and its compounds,INCLUDE,Nickel(II) bromide trihydrate,7789-49-3
Nickel and its compounds,INCLUDE,"Perchloric acid, nickel(2+) salt, hexahydrate",13520-61-1
Nickel and its compounds,INCLUDE,Nickel(II) chloride hydrate,69098-15-3
Nickel and its compounds,INCLUDE,[[]N-[[]alpha-[[]2-(Piperidinoacetamido)phenyl]benzylidene]glycinato]nickel,847654-17-5
Nickel and its compounds,INCLUDE,"[[]1,3-Bis(2,6-diisopropylphenyl)imidazol-2-ylidene]triphenylphosphine Nickel(II) Dichloride",903592-98-3
Nickel and its compounds,INCLUDE,Ethylenediaminetetraacetic Acid Disodium Nickel(II) Salt Hydrate,11079-07-5
Nickel and its compounds,INCLUDE,Dipotassium tetracyanonickelate hydrate,339527-86-5
Nickel and its compounds,INCLUDE,Nickel ammonium sulfate hexahydrate,7785-20-8
Nickel and its compounds,INCLUDE,Nickel sulfamate tetrahydrate,124594-15-6
Nickel and its compounds,INCLUDE,Nickel(II) carbonate hydroxide tetrahydrate,12244-51-8
Nickel and its compounds,INCLUDE,Nickel sulfide (NiS2),12035-51-7
Nickel and its compounds,INCLUDE,azanide;nickel(2+);carbonate,67806-76-2
Nickel and its compounds,INCLUDE,"nickel(2+) disodium 2,2',2'',2'''-(ethane-1,2-diyldinitrilo)tetraacetate",15708-55-1
Nickel and its compounds,INCLUDE,Lithium Nickel Cobalt Aluminium Oxide,193214-24-3
Nickel and its compounds,INCLUDE,Trinickel phosphide,12059-19-7
Nickel and its compounds,INCLUDE,"Nickel, aqua[2-[2-[4,5-dihydro-3-methyl-5-(oxo-κO)-1H-pyrazol-4-yl]diazenyl-κN1]benzoato(2-)-κO]-",106316-55-6
Nickel and its compounds,INCLUDE,"Nickel(2+), hexakis(1H-imidazole-κN3)-, (OC-6-11)-, 1,2-benzenedicarboxylate (1:1)",108818-89-9
Nickel and its compounds,INCLUDE,"Nickel, [29H,31H-phthalocyaninato(2-)-κN29,κN30,κN31,κN32]-, sulfo [[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]amino]sulfonyl derivs., potassium sodium salts",113894-88-5
Nickel and its compounds,INCLUDE,"Nickelate(6-), [4-[2-[5-[[(3,6-dichloro-4-pyridazinyl)carbonyl]amino]-2-sulfophenyl]diazenyl]-4,5-dihydro-5-oxo-1-[5-[[(C,C,C-trisulfo-29H,31H-phthalocyanin-C-yl)sulfonyl]amino]-2-sulfophenyl]-1H-pyrazole-3-carboxylato(8-)-κN29,κN30,κN31,κN32]-, sodium",113894-89-6
Nickel and its compounds,INCLUDE,Nickel disulfide,12035-50-6
Nickel and its compounds,INCLUDE,Nickel silicide (NiSi),12035-57-3
Nickel and its compounds,INCLUDE,Nickel Sulfide (Ni9S8),12035-77-7
Nickel and its compounds,INCLUDE,Polydymite (Ni3S4),12059-21-1
Nickel and its compounds,INCLUDE,Nickel Black,12125-56-3
Nickel and its compounds,INCLUDE,Nickel sulfide (Ni2S),12137-08-5
Nickel and its compounds,INCLUDE,Nickel oxide (Ni3O4),12137-09-6
Nickel and its compounds,INCLUDE,Nickel carbide (NiC),12167-08-7
Nickel and its compounds,INCLUDE,Nickel sulfide (Ni2S3),12259-56-2
Nickel and its compounds,INCLUDE,"Carbamic acid, ethylenebis(dithio-, nickel(II) salt",12275-13-7
Nickel and its compounds,INCLUDE,"Nickel, [carbonato(2-)]hexahydroxytetra-",12334-31-5
Nickel and its compounds,INCLUDE,Nickel oxide (Ni2O),12359-17-0
Nickel and its compounds,INCLUDE,Nickel sulfide (Ni7S6),12503-53-6
Nickel and its compounds,INCLUDE,Nickel arsenide,12795-30-1
Nickel and its compounds,INCLUDE,Rammelsbergite (NiAs2),1303-22-6
Nickel and its compounds,INCLUDE,"Nitric acid, nickel(2+) salt, hydrate",13778-29-5
Nickel and its compounds,INCLUDE,Nickel chloride(NiCl),13931-83-4
Nickel and its compounds,INCLUDE,"Sulfuric acid, nickel(2+) salt (1:1), monohydrate",14168-76-4
Nickel and its compounds,INCLUDE,"Nickelate(2-), tetracyano-, dipotassium, hydrate",14323-41-2
Nickel and its compounds,INCLUDE,"Phosphoric acid, nickel salt",14396-43-1
Nickel and its compounds,INCLUDE,"Nickel, bis(hexahydro-1H-azepine-1-carbodithioato-κS1,κS'1)-, (SP-4-1)-",14434-67-4
Nickel and its compounds,INCLUDE,"Octadecanoic acid, nickel salt",14448-69-2
Nickel and its compounds,INCLUDE,"Nitric acid, nickel(3+) salt",15099-34-0
Nickel and its compounds,INCLUDE,"Nickelate(1-), trichloro-, ammonium, hexahydrate",16122-03-5
Nickel and its compounds,INCLUDE,"Nitric acid, nickel(2+) salt, tetrahydrate",16456-84-1
Nickel and its compounds,INCLUDE,"Carbonic acid, nickel(2+) salt (1:1), hexahydrate",17030-82-9
Nickel and its compounds,INCLUDE,"Carbonic acid, nickel(2+) salt (2:1)",17237-93-3
Nickel and its compounds,INCLUDE,"Nickel chloride (NiCl2), dihydrate",17638-48-1
Nickel and its compounds,INCLUDE,"NITROUS ACID, NICKEL (2+) SALT",17861-62-0
Nickel and its compounds,INCLUDE,"Nitric acid, nickel(2+) salt, octahydrate",18534-07-1
Nickel and its compounds,INCLUDE,"1,2-Benzenedicarboxylic acid, 3,4,5,6-tetrabromo-, nickel(2+) salt (1:1)",18824-79-8
Nickel and its compounds,INCLUDE,"Nickel(2+), bis(1,2-propanediamine-κN1,κN2)-, bis(cyano-κC)aurate(1-) (1:2)",18972-69-5
Nickel and its compounds,INCLUDE,Aluminiummagnesiumnickelsiliziumoxide,198831-12-8
Nickel and its compounds,INCLUDE,Aluminum boron cobalt lithium nickel oxide,207803-51-8
Nickel and its compounds,INCLUDE,2-[bis(carboxylatomethyl)amino]acetate;nickel(3+),22965-60-2
Nickel and its compounds,INCLUDE,"Nitric acid, nickel(2+) salt, dihydrate",23232-50-0
Nickel and its compounds,INCLUDE,"Titanate(2-), hexafluoro-, nickel(2+), (1:1), (OC-6-11)-",34109-80-3
Nickel and its compounds,INCLUDE,"Nickel chloride (NiCl2), tetrahydrate",34304-82-0
Nickel and its compounds,INCLUDE,"Nickel, bis[(2-phenyldiazenecarbothioic acid-κS) 2-phenylhydrazidato-κN2]-",12213-15-9
Nickel and its compounds,INCLUDE,Nickel dihydroxide hydrate,36897-37-7
Nickel and its compounds,INCLUDE,Nickel hydride,37187-84-1
Nickel and its compounds,INCLUDE,"Phosphoric acid,compounds,nickel(2+) zinc salt (2:1:2) tetrahydrate",501953-51-1
Nickel and its compounds,INCLUDE,"Nickel, bis[1-[4-(diethylamino)phenyl]-2-phenyl-1,2-ethenedithiolato(2-)-κS1,κS2]-",51449-18-4
Nickel and its compounds,INCLUDE,"Nickel(2++), hexaammine-, dihydroxide, (OC-6-11)-",51467-07-3
Nickel and its compounds,INCLUDE,"Nickel(1+), [1-[2-amino-4-(imino-κN)-5(4H)-thiazolylidene]-N-[1-[2-amino-4-(imino-κN)-5(4H)-thiazolylidene]-1H-isoindol-3-yl-κN]-1H-isoindol-3-aminato-κN2]-, chloride (1:1)",53199-85-2
Nickel and its compounds,INCLUDE,"Nickelate(2-), tetrakis(cyano-C)-, (SP-4-1)-",48042-08-6
Nickel and its compounds,INCLUDE,Antimony nickel titanium oxide,54576-53-3
Nickel and its compounds,INCLUDE,"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, nickel(2+) salt (2:1)",55868-93-4
Nickel and its compounds,INCLUDE,"Sulfuric acid, nickel(2+) salt (1:1), tetrahydrate",61092-77-1
Nickel and its compounds,INCLUDE,"Sulfuric acid, nickel(2+) salt (1:1), pentahydrate",66341-42-2
Nickel and its compounds,INCLUDE,"Sulfuric acid, nickel(2+) salt (1:1), dihydrate",66634-47-7
Nickel and its compounds,INCLUDE,Godlevskite (Ni7S6),66732-80-7
Nickel and its compounds,INCLUDE,Nickel Sulfide (Ni4S),67272-59-7
Nickel and its compounds,INCLUDE,"Nickel(2+), ((1,1'-biphenyl)-4,4'-diamine-N)-",67632-50-2
Nickel and its compounds,INCLUDE,"Nickel, bis[[2-(hydroxy-κO)-4-octylphenyl]phenylmethanonato-κO]-",68189-15-1
Nickel and its compounds,INCLUDE,"Nickel, [29H,31H-phthalocyaninato(2-)-κN29,κN30,κN31,κN32]-, [(3-aminophenyl)amino]sulfonyl sulfo derivs.",68412-19-1
Nickel and its compounds,INCLUDE,"Nickel, dextrin complexes",68412-20-4
Nickel and its compounds,INCLUDE,"Sulfuric acid, nickel(2+) salt (1:1), reaction products with nickel and nickel oxide (NiO)",68585-48-8
Nickel and its compounds,INCLUDE,"Nickelate(4-), [22-[[(4-sulfophenyl)amino]sulfonyl]-29H,31H-phthalocyanine-1,8,15-trisulfonato(6-)-κN29,κN30,κN31,κN32]-, hydrogen (1:4), (SP-4-2)-",70729-79-2
Nickel and its compounds,INCLUDE,"2-ethylhexanoic acid;nickel;2,2,2-trifluoroacetic acid",70776-98-6
Nickel and its compounds,INCLUDE,"Acetic acid, nickel(2+) salt (2:1), polymer with formaldehyde and 4-(1,1,3,3-tetramethylbutyl)phenol",71050-57-2
Nickel and its compounds,INCLUDE,"Nickel, [[2,2'-[methylenebis(thio-κS)]bis[acetato-κO]](2-)]-",71215-73-1
Nickel and its compounds,INCLUDE,"Nickel(2+), tris(1,2-ethanediamine-κN,κN')-, (OC-6-11)-, salt with dimethylbenzenesulfonic acid (1:2)",71215-97-9
Nickel and its compounds,INCLUDE,"Nickel(2+), bis(1,2-ethanediamine-κN,κN')-, salt with dimethylbenzenesulfonic acid (1:2)",71215-98-0
Nickel and its compounds,INCLUDE,"Nickel, bis[N-hydroxy-3-(hydroxyimino-κN)-N'-(2-methoxyphenyl)butanimidamidato-κN']-",71605-83-9
Nickel and its compounds,INCLUDE,"Nickel, [N-(4-chlorophenyl)-3-[2-[[1-(4-chlorophenyl)-4,5-dihydro-3-methyl-5-(oxo-κO)-1H-pyrazol-4-yl]methylene]hydrazinylidene-κN2]-α-cyano-1H-isoindole-3-acetamidato(2-)-κN2,κO3]-",106887-33-6
Nickel and its compounds,INCLUDE,"Sulfuric acid, nickel salt (1:?), reaction products with sulfurized phenol calcium salt (2:1)",72162-32-4
Nickel and its compounds,INCLUDE,"Nickel, [N,N',N''-tris[4-(4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl)phenyl]-29H,31H-phthalocyanine-C,C,C-trisulfonamidato(2-)-κN29,κN30,κN31,κN32]-",72252-57-4
Nickel and its compounds,INCLUDE,"Nickelate(6-), [C-[[[3-[2-[4,5-dihydro-3-methyl-5-oxo-1-[3-sulfo-4-[2-[2-sulfo-4-[(2,5,6-trichloro-4-pyrimidinyl)amino]phenyl]ethenyl]phenyl]-1H-pyrazol-4-yl]diazenyl]-4-sulfophenyl]amino]sulfonyl]-29H,31H-phthalocyanine-C,C,C-trisulfonato(8-)-κN29,κN30,",72453-55-5
Nickel and its compounds,INCLUDE,"Nickel, bis[[didecyl (1,2-dicyano-1,2-ethenediyl)bis[carbamato]](2-)]-",77245-35-3
Nickel and its compounds,INCLUDE,"Aluminum, triethyl-, reaction products with nickel(2+) 2-ethylhexanoate (1:2)",79357-65-6
Nickel and its compounds,INCLUDE,"Nickel, bis[(cyano-κC)triphenylborato(1-)-κN]bis(hexanedinitrile-κN,κN')-",83864-02-2
Nickel and its compounds,INCLUDE,Nickel Sulfide (Ni7S3),84013-51-4
Nickel and its compounds,INCLUDE,"Sulfuric acid, nickel(2+) salt (1:1), trihydrate",85017-75-0
Nickel and its compounds,INCLUDE,"Nickel, bis(diisononylcarbamodithioato-S,S')-",85298-61-9
Nickel and its compounds,INCLUDE,"Nickel Sulfide (Ni3S5), trihydrate",86498-45-5
Nickel and its compounds,INCLUDE,"Phosphoric acid,compounds,nickel(2+) zinc salt (2:1:2)",90053-13-7
Nickel and its compounds,INCLUDE,"Fatty acids, (C=3-22), nickel salts, basic",91845-72-6
Nickel and its compounds,INCLUDE,Nickel Sulfide (Ni5S3),97599-06-9
Nickel and its compounds,INCLUDE,Nickel Sulfide (Ni5S4),97599-07-0
Nickel and its compounds,INCLUDE,Nickel Sulfide (Ni5S6),97599-08-1
Nickel and its compounds,INCLUDE,Nickel Sulfide (Ni9S5),98443-26-6
Nickel and its compounds,INCLUDE,"Nickelate(1-), (formato-O)[sulfato(2-)-O]-, hydrogen",125275-86-7
Nickel and its compounds,INCLUDE,"Nickelate(1-), (acetato-O)[sulfato(2-)-O]-, hydrogen",125275-87-8
Nickel and its compounds,INCLUDE,"Nickelate(1-), [3-hydroxy-4-[(4-methyl-3- sulfophenyl)azo]-2-naphthalenecarboxylato(3-)]-, hydrogen",125378-87-2
Nickel and its compounds,INCLUDE,Nickel sulfide (Ni(HS)2),27911-69-9
Nickel and its compounds,INCLUDE,"Nickel, tris(neodecanoato-.kappa.O)[.mu.3-[orthoborato(3-)-.kappa.O:.kappa.O':.kappa.O'']]tri-",936576-64-6
Nickel and its compounds,INCLUDE,Nickel carbonate hydroxide (Ni5(CO3)2(OH)6),12122-15-5
Nickel and its compounds,INCLUDE,Nickel arsenide sulfide,12255-10-6
Nickel and its compounds,INCLUDE,Nickel selenide (Ni3Se2),12137-13-2
Nickel and its compounds,INCLUDE,"Ammonium nickel sulfate ((NH4)2Ni2(SO4)3) (6CI,7CI)",25749-08-0
Nickel and its compounds,INCLUDE,Nickel tartrate,10471-42-8
Nickel and its compounds,INCLUDE,"Perchloric acid, nickel salt",41743-88-8
Nickel and its compounds,INCLUDE,"Nickelate(Ni4O5)(1-), lithium",67163-62-6
Nickel and its compounds,INCLUDE,Nickel(2+) hydrogen sulfate,44121-71-3
Nickel and its compounds,INCLUDE,Nickel subarsenide,12255-80-0
Nickel and its compounds,INCLUDE,"Acetohydroxamic acid, N-fluoren-2-yl-, nickel(2+) complex",14751-76-9
Nickel and its compounds,INCLUDE,"Cinnamic acid, nickel(II) salt",63938-16-9
Nickel and its compounds,INCLUDE,"Leach residues, nickel-vanadium ore",84144-92-3
Nickel and its compounds,INCLUDE,"Speiss, lead, nickel-contg.",98246-91-4
Nickel and its compounds,INCLUDE,Diammonium tetrachloronickelate(2-),99587-11-8
Nickel and its compounds,INCLUDE,"Cassiterite, cobalt manganese nickel grey",99749-23-2
Nickel and its compounds,INCLUDE,"Residues, copper-iron-lead-nickel matte, sulfuric acid-insol.",102110-49-6
Nickel and its compounds,INCLUDE,"[2,2'-[1,2-phenylenebis(nitrilomethylidyne)]-bis(phenolato)]-N,N',O,O'-nickel(II)",14406-71-4
Nickel and its compounds,INCLUDE,"Tetrasodium (c-(3-(1-(3-(e-6-dichloro-5-cyanopyrimidin-f-yl(methyl)amino)propyl)-1,6-dihydro-2-hydroxy-4-methyl-6-oxo-3-pyridylazo)-4-sulfonatophenylsulfamoyl)phthalocyanine-a,b,d-trisulfonato(6-))nickelato II, where a is 1 or 2 or 3 or 4,b is 8 or 9 or 10 or 11,c is 15 or 16 or 17 or 18, d is 22 or 23 or 24 or 25 and where e and f together are 2 and 4 or 4and 2 respectively",148732-74-5
Nickel and its compounds,INCLUDE,"Hexasodium (di-[N-(3-(4-[5-(5-amino-3-methyl-1-phenylpyrazol-4-yl-azo)-2,4-disulfo-anilino]-6-chloro-1,3,5-triazin-2-ylamino)phenyl)-sulfamoyl](di-sulfo)-phthalocyaninato)nickel",151436-99-6
Nickel and its compounds,INCLUDE,"Nickel, 5-[2-(2-hydroxy-3,7-disulfo-1-naphthalenyl)diazenyl]-1H-1,2,4-triazole-3-carboxylate sodium complexes",738587-10-5
Nickel and its compounds,INCLUDE,"Nickel alloy, base, Ni 54.0-57.0,Ti 43-46,C 0-0.07,Co 0-0.05,Fe 0-0.05,O 0-0.05,Nb 0-0.025,Cr 0-0.01,Cu 0-0.01,H 0-0.005 (UNS N01555)",52013-44-2
Nickel and its compounds,INCLUDE,"Nickel fluoride (NiF2), tetrahydrate",13940-83-5
Nickel and its compounds,INCLUDE,"Nickel, [[]29H,31H-phthalocyaninato(2-)-[?]N29,[?]N30,[?]N31,[?]N32]-, [[][[]3-[[](5-chloro-6-fluoro-4-pyrimidinyl)amino]phenyl]amino]sulfonyl sulfo derivs., sodium salts",134737-17-0
